ID	S3P1_G05	S3P1_H05	S3P1_F05	S3P1_A06	S3P1_E06	S3P1_C06	S3P1_B06	S3P1_G06	S3P1_H06	S3P1_F06	S3P1_B07	S3P1_E07	S3P1_C07	S3P1_H07	S3P1_G07	S3P1_F07	S3P1_E08	S3P1_C08	S3P1_D08	S3P1_F08	S3P1_G08	S3P1_A09	S3P1_H08	S3P1_E09	S3P1_D09	S3P1_B09	S3P1_C09	S3P1_H09	S3P1_F09	S3P1_G09	S3P1_A10
ATP1B4_32428	0	0	0	0	0	0	0	0	0	0	0	0.652386519767124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEFH_33218	0.37856639814782	0.266437056116874	0	0	0.535429394182184	0	0	1.54747806058514	0	0.297276021639686	0	0.362759423683123	0	0	0	0.382041008749072	0	0	0.48187934468507	1.76546216749117	0	0	0.254244125875928	0	0	0	0	0	0	0.407675015627573	0
H2AFX_32900	0.92611184898695	0.685716613662611	1.20831594506302	1.43789859305428	0.29241276798639	0.354425841883103	0.780456963651258	0.401094716879497	1.11154876214998	0.543638533707948	1.09164539188134	0.893478021839129	0.848071292210536	0.811155005718025	0.813689588762671	1.33108659925271	0.899612909335192	0.469104036945354	1.13072347011144	0.284711061744162	0.686268637209777	0.483472325458167	0.65821791855102	0.55326274423751	0.657791547108407	0	1.09968606514743	0.769066161625138	0.546813385671206	0.98523726703535	0.28702456681235
HTR6_33249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBB3_32820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233939075284409	0.299159889163882	0	0
TMEM5_10045	6.04024941496198	5.54968119062438	5.51669228381975	5.76968707161206	5.83722888142402	5.95387963286031	5.61013868503441	5.62634975454831	5.51380124061512	5.5613889589237	6.01409388411352	6.04210694097574	5.98049473140863	5.84790098610511	6.12826826552129	6.00140395905183	5.76107965129547	6.03883224068177	6.23183641248783	6.0157952718701	5.70503161833486	5.74280956055568	5.85423634057179	6.10377208864594	5.73287885611114	5.75121618414451	6.29042890235311	6.16174009446416	6.03892302909022	6.38006557069919	6.08569809303119
PYGL_9632	9.0100654998492	8.56172632522141	8.91751464826366	8.79219936391797	9.04593560333992	9.02027187450862	9.02997628330906	9.15943613891636	8.74657944136109	9.14164112543861	9.18241223152417	9.08717610336883	8.97878216477395	8.83060582225929	9.27003754927435	9.23776009674874	8.67253888853409	8.8823306500624	8.97056375420024	8.68046473852251	8.46380734402788	8.04737076372765	8.06661127870831	8.83219617754629	8.70562194243325	8.51074880858214	8.35720462766829	7.26164375947979	8.49280170337006	7.91491168306993	7.81007741021868
ACOT2_7969	5.35426047837242	4.76370542135628	4.52751278682281	5.00659006648552	4.63324484712964	5.27031780679245	4.50902883073653	5.18014979726817	4.65436734917497	5.03589950982728	6.26281576021503	6.43427841053726	6.95358647129834	7.35752535826045	7.65671613779175	7.96528919150351	8.4646891076137	8.6795984298181	8.45518634371947	9.04702128534378	8.84060916753371	8.53387533495931	8.59690608957977	9.33854693537184	8.94819610262977	9.52709800054281	9.8325839928239	10.6471729101657	9.7780899983452	10.380441911099	9.7003666413236
COL4A2_8356	5.71722372540364	5.61083959218989	5.75708835106124	5.75454134613993	5.92520837258865	5.39011981348651	5.14764830998496	5.92920591347059	5.89770343252161	5.55438115584443	5.76680085692271	5.80450648280868	5.7850172504751	5.74339523871415	5.98028751293192	5.64719473383343	5.31230394873394	5.47314389977969	5.51137931281054	5.45873485720089	5.60927132379356	5.26385450432327	4.89306564714003	5.52682485038728	5.17172936985548	5.41909223184573	5.23183853439113	4.96712952613613	5.49959458697973	5.36335309321104	5.35973460023539
CDA_32590	0	0	0	0	0	0	0	0	0	0	0.359287704704912	0	0	0	0	0	0	0	0.260966101282418	0	0	0	0	0	0	0	0	0	0	0	0
